nutrient,ids,lower,upper,unit
Calories,"2047, 1008, 2048",3300,3400,kcal
Protein,"1053, 1003",150,,g
Carbs,"2039, 1005, 1050",,,g
Fat,"1004, 1085",75,100,g
Fibre,1079,38,,g
Calcium,1087,1000,2500,mg
Iron,1089,8,45,mg
Zinc,1095,11,40,mg
Magnesium,1090,420,,mg
Sodium,1093,2000,2500,mg
Vitamin C,1162,90,2000,mg
Potassium,1092,3400,,mg
Vitamin A,1106,900,3000,ug
Vitamin B-6,1175,1.3,100,mg
Copper,1098,0.9,10,mg
Folate (DFE),"1190, 1177",400,,ug
Manganese,1101,2.3,11,mg
Niacin,1167,16,35,mg
Pantothenic acid,1170,5,,mg
Phosphorus,1091,700,4000,mg
Riboflavin,1166,1.3,,mg
Selenium,1103,55,400,ug
Thiamin,1165,1.2,,mg
Vitamin B-12,1178,2.4,,ug
Histidine,1221,0.75,,g
Isoleucine,1212,1.5,,g
Leucine,1213,3.5,,g
Lysine,1214,2.25,,g
Methionine,1215,0.7,,g
Phenylalanine,1217,0.95,,g
Threonine,1211,1.125,,g
Tryptophan,1210,0.3,,g
Valine,1219,1.95,,g
Omega-3 (ALA),1404,1.6,,g
Omega-3 (EPA),1278,0.125,,g
Omega-3 (DHA),1272,0.125,,g
